txn_id,txn_date,sku,store_id,quantity,amount
B-900296,2025-09-06,P-101,S-04,1,35.00
B-900297,2025-09-06,P-103,S-03,1,45.00
B-900298,2025-09-06,P-103,S-05,1,45.00
B-900299,2025-09-06,P-202,S-05,1,120.00
B-900300,2025-09-06,P-102,S-90,1,28.00
B-900301,2025-09-06,P-201,S-04,1,95.00
B-900302,2025-09-06,P-202,S-01,3,360.00
B-900303,2025-09-06,P-301,S-03,1,2450.00
B-900304,2025-09-06,P-302,S-04,1,3890.00
B-900305,2025-09-06,P-301,S-06,1,2450.00
B-900306,2025-09-06,P-102,S-06,1,28.00
B-900307,2025-09-06,P-301,S-04,1,2450.00
B-900308,2025-09-06,P-102,S-06,1,28.00
B-900309,2025-09-06,P-101,S-02,1,35.00
B-900310,2025-09-06,P-203,S-06,1,75.00
B-900311,2025-09-06,P-103,S-90,1,45.00
B-900312,2025-09-06,P-101,S-90,1,35.00
B-900313,2025-09-06,P-101,S-02,1,35.00
B-900314,2025-09-06,P-301,S-04,1,2450.00
B-900315,2025-09-06,P-103,S-90,1,45.00
B-900316,2025-09-06,P-201,S-05,2,190.00
B-900317,2025-09-06,P-302,S-01,1,3890.00
B-900318,2025-09-06,P-202,S-90,1,120.00
B-900319,2025-09-06,P-302,S-04,1,3890.00
B-900320,2025-09-06,P-202,S-90,1,120.00
B-900321,2025-09-06,P-301,S-01,1,2450.00
B-900322,2025-09-06,P-201,S-90,1,95.00
B-900323,2025-09-06,P-202,S-06,1,120.00
B-900324,2025-09-06,P-203,S-02,2,150.00
B-900325,2025-09-06,P-302,S-90,1,3890.00
B-900326,2025-09-06,P-103,S-90,1,45.00
B-900327,2025-09-06,P-101,S-03,1,35.00
B-900328,2025-09-06,P-201,S-02,2,190.00
B-900329,2025-09-06,P-201,S-05,1,95.00
B-900330,2025-09-06,P-302,S-90,1,3890.00
B-900331,2025-09-06,P-201,S-05,1,95.00
B-900332,2025-09-06,P-201,S-03,1,95.00
B-900333,2025-09-06,P-301,S-06,1,2450.00
B-900334,2025-09-06,P-102,S-02,1,28.00
B-900335,2025-09-06,P-201,S-04,2,190.00
B-900336,2025-09-06,P-102,S-03,2,56.00
B-900337,2025-09-06,P-103,S-05,1,45.00
B-900338,2025-09-06,P-302,S-04,1,3890.00
B-900339,2025-09-06,P-202,S-05,1,120.00
B-900340,2025-09-06,P-102,S-04,1,28.00
B-900341,2025-09-06,P-101,S-06,1,35.00
B-900342,2025-09-06,P-202,S-06,2,240.00
B-900343,2025-09-06,P-103,S-02,1,45.00
B-900344,2025-09-06,P-102,S-04,1,28.00
B-900345,2025-09-06,P-101,S-01,2,70.00
B-900346,2025-09-06,P-101,S-01,1,35.00
B-900347,2025-09-06,P-101,S-01,1,35.00
B-900348,2025-09-06,P-301,S-01,2,4900.00
B-900349,2025-09-06,P-203,S-06,1,75.00
B-900350,2025-09-06,P-102,S-02,1,28.00
B-900351,2025-09-06,P-201,S-06,1,95.00
B-900352,2025-09-06,P-201,S-05,1,95.00
B-900353,2025-09-06,P-202,S-90,1,120.00
B-900354,2025-09-06,P-301,S-90,1,2450.00
B-900355,2025-09-06,P-203,S-01,1,75.00
B-900356,2025-09-06,P-302,S-05,2,7780.00
