txn_id,txn_date,sku,store_id,channel,quantity,net_amount
B-901289,2025-09-24,P-103,S-03,หน้าร้าน,1,45.00
B-901290,2025-09-24,P-201,S-01,หน้าร้าน,1,95.00
B-901291,2025-09-24,P-103,S-04,หน้าร้าน,1,45.00
B-901292,2025-09-24,P-102,S-05,หน้าร้าน,1,28.00
B-901293,2025-09-24,P-201,S-01,หน้าร้าน,1,95.00
B-901294,2025-09-24,P-103,S-06,หน้าร้าน,1,45.00
B-901295,2025-09-24,P-203,S-02,หน้าร้าน,1,75.00
B-901296,2025-09-24,P-302,S-90,ออนไลน์,2,7780.00
B-901297,2025-09-24,P-203,S-04,หน้าร้าน,1,75.00
B-901298,2025-09-24,P-101,S-02,หน้าร้าน,1,35.00
B-901299,2025-09-24,P-202,S-03,หน้าร้าน,1,120.00
B-901300,2025-09-24,P-102,S-03,หน้าร้าน,1,28.00
B-901301,2025-09-24,P-201,S-04,หน้าร้าน,1,95.00
B-901302,2025-09-24,P-202,S-02,หน้าร้าน,1,120.00
B-901303,2025-09-24,P-101,S-05,หน้าร้าน,1,35.00
B-901304,2025-09-24,P-202,S-01,หน้าร้าน,1,120.00
B-901305,2025-09-24,P-203,S-03,หน้าร้าน,2,150.00
B-901306,2025-09-24,P-102,S-03,หน้าร้าน,3,84.00
B-901307,2025-09-24,P-203,S-04,หน้าร้าน,1,75.00
B-901308,2025-09-24,P-103,S-06,หน้าร้าน,1,45.00
B-901309,2025-09-24,P-102,S-90,ออนไลน์,1,28.00
B-901310,2025-09-24,P-201,S-05,หน้าร้าน,1,95.00
B-901311,2025-09-24,P-101,S-04,หน้าร้าน,1,35.00
B-901312,2025-09-24,P-102,S-90,ออนไลน์,1,28.00
B-901313,2025-09-24,P-301,S-03,หน้าร้าน,1,2450.00
B-901314,2025-09-24,P-103,S-02,หน้าร้าน,2,90.00
B-901315,2025-09-24,P-102,S-04,หน้าร้าน,1,28.00
B-901316,2025-09-24,P-302,S-06,หน้าร้าน,1,3890.00
B-901317,2025-09-24,P-102,S-90,ออนไลน์,1,28.00
B-901318,2025-09-24,P-102,S-90,ออนไลน์,1,28.00
B-901319,2025-09-24,P-102,S-05,หน้าร้าน,1,28.00
B-901320,2025-09-24,P-101,S-03,หน้าร้าน,1,35.00
B-901321,2025-09-24,P-202,S-06,หน้าร้าน,2,240.00
B-901322,2025-09-24,P-201,S-06,หน้าร้าน,2,190.00
B-901323,2025-09-24,P-101,S-90,ออนไลน์,1,35.00
B-901324,2025-09-24,P-301,S-01,หน้าร้าน,1,2450.00
B-901325,2025-09-24,P-102,S-01,หน้าร้าน,3,84.00
B-901326,2025-09-24,P-202,S-90,ออนไลน์,1,120.00
B-901327,2025-09-24,P-103,S-05,หน้าร้าน,2,90.00
B-901328,2025-09-24,P-201,S-01,หน้าร้าน,2,190.00
