sales_date,store_id,region,net_amount,transactions
2023-01-01,S-01,ภาคกลาง,67682.87,308
2023-01-01,S-02,ภาคกลาง,67682.87,237
2023-01-01,S-03,ภาคอีสาน,38353.63,144
2023-01-01,S-04,ภาคอีสาน,38353.63,147
2023-01-01,S-05,ภาคเหนือ,40609.72,167
2023-01-01,S-06,ภาคใต้,36097.53,118
2023-01-01,S-90,ภาคกลาง,67682.87,312
2023-01-02,S-01,ภาคกลาง,46436.64,168
2023-01-02,S-02,ภาคกลาง,46436.64,194
2023-01-02,S-03,ภาคอีสาน,26314.09,91
2023-01-02,S-04,ภาคอีสาน,26314.09,89
2023-01-02,S-05,ภาคเหนือ,27861.98,92
2023-01-02,S-06,ภาคใต้,24766.21,80
2023-01-02,S-90,ภาคกลาง,46436.64,244
2023-01-03,S-01,ภาคกลาง,39977.43,178
2023-01-03,S-02,ภาคกลาง,39977.43,202
2023-01-03,S-03,ภาคอีสาน,22653.88,84
2023-01-03,S-04,ภาคอีสาน,22653.88,74
2023-01-03,S-05,ภาคเหนือ,23986.46,109
2023-01-03,S-06,ภาคใต้,21321.3,69
2023-01-03,S-90,ภาคกลาง,39977.43,164
2023-01-04,S-01,ภาคกลาง,42842.83,192
2023-01-04,S-02,ภาคกลาง,42842.83,136
2023-01-04,S-03,ภาคอีสาน,24277.6,105
2023-01-04,S-04,ภาคอีสาน,24277.6,79
2023-01-04,S-05,ภาคเหนือ,25705.7,119
2023-01-04,S-06,ภาคใต้,22849.51,100
2023-01-04,S-90,ภาคกลาง,42842.83,194
2023-01-05,S-01,ภาคกลาง,41249.7,164
2023-01-05,S-02,ภาคกลาง,41249.7,167
2023-01-05,S-03,ภาคอีสาน,23374.83,84
2023-01-05,S-04,ภาคอีสาน,23374.83,110
2023-01-05,S-05,ภาคเหนือ,24749.82,101
2023-01-05,S-06,ภาคใต้,21999.84,76
2023-01-05,S-90,ภาคกลาง,41249.7,226
2023-01-06,S-01,ภาคกลาง,47696.44,177
2023-01-06,S-02,ภาคกลาง,47696.44,167
2023-01-06,S-03,ภาคอีสาน,27027.98,95
2023-01-06,S-04,ภาคอีสาน,27027.98,104
2023-01-06,S-05,ภาคเหนือ,28617.86,105
2023-01-06,S-06,ภาคใต้,25438.1,88
2023-01-06,S-90,ภาคกลาง,47696.44,248
2023-01-07,S-01,ภาคกลาง,67094.76,286
2023-01-07,S-02,ภาคกลาง,67094.76,232
2023-01-07,S-03,ภาคอีสาน,38020.36,129
2023-01-07,S-04,ภาคอีสาน,38020.36,167
2023-01-07,S-05,ภาคเหนือ,40256.86,159
2023-01-07,S-06,ภาคใต้,35783.87,137
2023-01-07,S-90,ภาคกลาง,67094.76,233
2023-01-08,S-01,ภาคกลาง,63435.69,287
2023-01-08,S-02,ภาคกลาง,63435.69,204
2023-01-08,S-03,ภาคอีสาน,35946.89,171
2023-01-08,S-04,ภาคอีสาน,35946.89,181
2023-01-08,S-05,ภาคเหนือ,38061.42,190
2023-01-08,S-06,ภาคใต้,33832.37,111
2023-01-08,S-90,ภาคกลาง,63435.69,246
2023-01-09,S-01,ภาคกลาง,41115.28,135
2023-01-09,S-02,ภาคกลาง,41115.28,201
2023-01-09,S-03,ภาคอีสาน,23298.66,75
2023-01-09,S-04,ภาคอีสาน,23298.66,97
2023-01-09,S-05,ภาคเหนือ,24669.17,88
2023-01-09,S-06,ภาคใต้,21928.15,72
