customer_id,contract_type,tenure_months,monthly_charge,support_tickets,internet_type,paperless_billing,auto_payment,churned
CU-10000,รายเดือน,28,1045.40,2,ADSL,ไม่,ใช่,1
CU-10001,1 ปี,57,401.05,1,ไฟเบอร์,ใช่,ใช่,0
CU-10002,2 ปี,50,961.51,0,ไฟเบอร์,ใช่,ไม่,0
CU-10003,1 ปี,15,670.11,0,ไฟเบอร์,ใช่,ใช่,0
CU-10004,2 ปี,4,877.22,2,ไฟเบอร์,ไม่,ไม่,0
CU-10005,2 ปี,63,1371.84,0,ADSL,ใช่,ไม่,0
CU-10006,รายเดือน,20,856.54,0,ADSL,ใช่,ไม่,0
CU-10007,รายเดือน,48,726.53,5,ไฟเบอร์,ไม่,ใช่,1
CU-10008,รายเดือน,63,571.01,1,ไฟเบอร์,ไม่,ใช่,0
CU-10009,2 ปี,5,1064.53,1,ADSL,ใช่,ใช่,0
CU-10010,รายเดือน,41,678.40,0,ADSL,ไม่,ใช่,0
CU-10011,2 ปี,13,1276.71,2,ADSL,ใช่,ไม่,0
CU-10012,รายเดือน,13,787.31,3,ไฟเบอร์,ไม่,ไม่,1
CU-10013,รายเดือน,13,1273.59,3,ADSL,ไม่,ใช่,1
CU-10014,รายเดือน,26,424.87,0,ADSL,ใช่,ไม่,0
CU-10015,รายเดือน,12,616.02,3,ไฟเบอร์,ไม่,ใช่,0
CU-10016,1 ปี,33,1158.49,2,ไฟเบอร์,ใช่,ใช่,0
CU-10017,รายเดือน,3,305.97,0,ไฟเบอร์,ใช่,ใช่,0
CU-10018,รายเดือน,21,1122.72,0,ไฟเบอร์,ไม่,ไม่,1
CU-10019,1 ปี,19,1200.44,0,ADSL,ใช่,ไม่,0
CU-10020,รายเดือน,34,836.05,2,ไฟเบอร์,ใช่,ใช่,1
CU-10021,รายเดือน,35,515.28,2,ADSL,ไม่,ไม่,0
CU-10022,1 ปี,35,1128.02,0,ADSL,ไม่,ไม่,0
CU-10023,2 ปี,20,1499.66,0,ADSL,ไม่,ไม่,0
CU-10024,2 ปี,17,1370.07,4,ADSL,ใช่,ไม่,1
CU-10025,รายเดือน,4,358.61,0,ADSL,ใช่,ไม่,1
CU-10026,1 ปี,4,1471.19,3,ADSL,ไม่,ไม่,1
CU-10027,รายเดือน,11,737.63,5,ADSL,ใช่,ใช่,0
CU-10028,1 ปี,19,573.74,0,ไฟเบอร์,ใช่,ไม่,0
CU-10029,1 ปี,6,1029.59,0,ADSL,ไม่,ไม่,0
CU-10030,รายเดือน,20,983.35,2,ADSL,ใช่,ไม่,1
CU-10031,รายเดือน,49,1573.40,0,ADSL,ใช่,ใช่,0
CU-10032,1 ปี,32,789.97,1,ADSL,ไม่,ไม่,0
CU-10033,รายเดือน,2,1423.86,0,ADSL,ใช่,ใช่,1
CU-10034,รายเดือน,5,572.41,1,ADSL,ใช่,ไม่,1
CU-10035,2 ปี,71,933.61,0,ไฟเบอร์,ไม่,ใช่,0
CU-10036,รายเดือน,16,549.98,0,ADSL,ไม่,ใช่,1
CU-10037,2 ปี,22,1544.13,1,ไฟเบอร์,ใช่,ไม่,0
CU-10038,1 ปี,61,516.89,5,ADSL,ใช่,ใช่,0
CU-10039,รายเดือน,62,1033.83,1,ADSL,ใช่,ใช่,0
CU-10040,2 ปี,31,515.53,0,ADSL,ไม่,ไม่,0
CU-10041,2 ปี,18,1400.26,0,ไฟเบอร์,ใช่,ใช่,0
CU-10042,2 ปี,8,912.60,1,ไฟเบอร์,ไม่,ไม่,0
CU-10043,1 ปี,65,843.48,4,ADSL,ไม่,ไม่,0
CU-10044,รายเดือน,19,978.71,0,ADSL,ใช่,ใช่,1
CU-10045,รายเดือน,37,1164.36,3,ADSL,ไม่,ใช่,1
CU-10046,1 ปี,65,1130.17,0,ไฟเบอร์,ใช่,ไม่,0
