loan_id,application_date,income_at_application,debt_ratio_at_application,credit_history_months_at_application,age_at_application,prev_loans_at_application,loan_amount_at_application,occupation_at_application,collection_calls,account_status,days_since_last_payment,defaulted
L-20582,2023-01-01,36427.09,0.868,169,23,2,100000.00,พนักงานประจำ,11,ค้างชำระ,173,1
L-23438,2023-01-01,18045.33,0.253,43,30,6,150000.00,ธุรกิจส่วนตัว,2,ปิดบัญชีแล้ว,25,0
L-23927,2023-01-01,28368.83,0.324,41,29,0,300000.00,อาชีพอิสระ,0,ปกติ,15,0
L-24693,2023-01-01,10128.42,0.394,83,32,0,150000.00,ธุรกิจส่วนตัว,0,ปกติ,21,0
L-27951,2023-01-01,22391.36,0.554,80,32,1,200000.00,ข้าราชการ,1,ปิดบัญชีแล้ว,27,0
L-28112,2023-01-01,36446.24,0.405,227,52,2,100000.00,อาชีพอิสระ,1,ปิดบัญชีแล้ว,8,0
L-29974,2023-01-01,35769.49,0.656,60,40,1,150000.00,อาชีพอิสระ,0,ปกติ,26,0
L-30494,2023-01-01,39994.43,0.43,78,34,4,500000.00,อาชีพอิสระ,9,ค้างชำระ,118,1
L-31191,2023-01-01,32329.08,0.361,236,61,3,300000.00,ธุรกิจส่วนตัว,0,ปกติ,6,0
L-20075,2023-01-02,38151.45,0.118,237,40,1,150000.00,ธุรกิจส่วนตัว,0,ปิดบัญชีแล้ว,2,0
L-20876,2023-01-02,40000.84,0.438,39,54,4,200000.00,อาชีพอิสระ,0,ปกติ,9,0
L-23378,2023-01-02,22128.63,0.328,110,40,4,50000.00,อาชีพอิสระ,1,ปกติ,8,0
L-23602,2023-01-02,44235.15,0.602,122,36,0,150000.00,พนักงานประจำ,2,ปกติ,5,0
L-25672,2023-01-02,43646.67,0.207,60,63,2,150000.00,พนักงานประจำ,2,ปิดบัญชีแล้ว,2,0
L-25818,2023-01-02,22468.92,0.23,161,42,1,50000.00,พนักงานประจำ,0,ปิดบัญชีแล้ว,3,0
L-27877,2023-01-02,36531.90,0.74,80,62,0,150000.00,พนักงานประจำ,1,ปกติ,30,0
L-28514,2023-01-02,9000.00,0.54,189,33,0,300000.00,อาชีพอิสระ,2,ปกติ,9,0
L-31878,2023-01-02,43638.18,0.329,2,64,2,150000.00,พนักงานประจำ,13,ค้างชำระ,136,1
L-20061,2023-01-03,66402.12,0.083,218,61,4,500000.00,ข้าราชการ,0,ปิดบัญชีแล้ว,26,0
L-22201,2023-01-03,26027.58,0.505,163,44,3,300000.00,ข้าราชการ,2,ปิดบัญชีแล้ว,29,0
L-22592,2023-01-03,31637.04,0.132,66,63,3,200000.00,ข้าราชการ,2,ปกติ,22,0
L-23566,2023-01-03,47159.94,0.475,182,63,1,500000.00,อาชีพอิสระ,0,ปกติ,10,0
L-25433,2023-01-03,26521.72,0.553,74,48,0,300000.00,อาชีพอิสระ,2,ปกติ,3,0
L-26066,2023-01-03,43042.84,0.336,89,26,4,100000.00,อาชีพอิสระ,0,ปกติ,7,0
L-27006,2023-01-03,37695.44,0.368,199,28,1,200000.00,พนักงานประจำ,0,ปกติ,8,0
L-28238,2023-01-03,59711.28,0.388,192,54,2,200000.00,ธุรกิจส่วนตัว,0,ปกติ,25,0
L-28348,2023-01-03,41283.01,0.472,189,53,6,300000.00,ธุรกิจส่วนตัว,2,ปกติ,12,0
L-29531,2023-01-03,25625.63,0.401,13,50,5,500000.00,อาชีพอิสระ,0,ปกติ,20,0
L-29893,2023-01-03,49113.49,0.669,52,30,0,300000.00,พนักงานประจำ,0,ปกติ,8,0
L-30454,2023-01-03,25850.15,0.397,46,36,2,50000.00,ข้าราชการ,2,ปกติ,10,0
L-31864,2023-01-03,20138.89,0.058,113,62,3,50000.00,พนักงานประจำ,0,ปกติ,24,0
L-20080,2023-01-04,39812.19,0.364,90,54,1,150000.00,พนักงานประจำ,10,ค้างชำระ,114,1
L-20875,2023-01-04,22363.05,0.343,130,37,5,50000.00,ข้าราชการ,1,ปิดบัญชีแล้ว,16,0
L-21287,2023-01-04,39957.60,0.395,224,47,6,200000.00,ข้าราชการ,1,ปกติ,26,0
L-23407,2023-01-04,33372.12,0.163,237,26,5,200000.00,ข้าราชการ,0,ปกติ,13,0
L-23582,2023-01-04,33732.45,0.54,141,30,6,100000.00,ข้าราชการ,0,ปิดบัญชีแล้ว,9,0
L-23829,2023-01-04,36770.33,0.519,137,36,3,50000.00,อาชีพอิสระ,2,ปกติ,29,0
L-24132,2023-01-04,37876.78,0.852,197,46,6,100000.00,อาชีพอิสระ,0,ปิดบัญชีแล้ว,11,0
L-24531,2023-01-04,69501.70,0.458,91,33,6,200000.00,พนักงานประจำ,3,ค้างชำระ,82,1
L-24744,2023-01-04,56153.12,0.353,193,39,0,100000.00,พนักงานประจำ,0,ปิดบัญชีแล้ว,18,0
L-25970,2023-01-04,33525.06,0.29,104,63,1,300000.00,ข้าราชการ,1,ปิดบัญชีแล้ว,14,0
L-25992,2023-01-04,31796.62,0.497,191,43,3,500000.00,ข้าราชการ,2,ปกติ,16,0
L-26232,2023-01-04,28574.02,0.611,45,60,6,150000.00,พนักงานประจำ,2,ปกติ,4,0
L-28050,2023-01-04,48042.30,0.196,197,34,2,300000.00,อาชีพอิสระ,1,ปกติ,29,0
L-30934,2023-01-04,28870.67,0.44,229,51,4,300000.00,ข้าราชการ,2,ปกติ,23,0
L-31332,2023-01-04,11904.14,0.02,72,44,5,100000.00,ข้าราชการ,1,ปิดบัญชีแล้ว,6,0
L-31960,2023-01-04,40297.24,0.357,53,37,4,150000.00,ข้าราชการ,0,ปกติ,18,0
L-20178,2023-01-05,21306.22,0.218,197,22,6,300000.00,ข้าราชการ,0,ปกติ,22,0
L-21868,2023-01-05,27663.57,0.358,0,37,4,500000.00,ธุรกิจส่วนตัว,0,ปกติ,17,0
L-21980,2023-01-05,9000.00,0.622,222,42,0,500000.00,อาชีพอิสระ,0,ปกติ,4,0
L-22756,2023-01-05,30202.74,0.217,207,55,5,300000.00,พนักงานประจำ,2,ปกติ,21,0
L-23876,2023-01-05,43052.76,0.479,160,23,6,200000.00,ธุรกิจส่วนตัว,2,ปกติ,29,0
L-26046,2023-01-05,29838.85,0.476,17,39,0,500000.00,พนักงานประจำ,0,ปิดบัญชีแล้ว,11,0
L-27271,2023-01-05,46406.14,0.395,144,32,6,100000.00,ธุรกิจส่วนตัว,1,ปกติ,17,0
L-27568,2023-01-05,40814.02,0.476,59,42,2,100000.00,ธุรกิจส่วนตัว,0,ปกติ,5,0
L-28127,2023-01-05,15417.38,0.528,227,61,2,100000.00,ข้าราชการ,0,ปิดบัญชีแล้ว,26,0
L-28603,2023-01-05,30324.88,0.02,191,49,6,500000.00,ธุรกิจส่วนตัว,0,ปิดบัญชีแล้ว,16,0
L-30039,2023-01-05,10687.83,0.636,232,47,0,500000.00,อาชีพอิสระ,2,ปกติ,15,0
L-20720,2023-01-06,40397.85,0.375,6,39,6,200000.00,พนักงานประจำ,14,ค้างชำระ,173,1
L-22648,2023-01-06,28077.03,0.543,80,61,4,100000.00,ข้าราชการ,0,ปกติ,25,0
