customer_id,recency_days,frequency,monetary,tenure_days,main_channel
C-30738,190,1,703.22,1068,แอปมือถือ
C-30580,90,20,32434.95,1059,ออนไลน์
C-30887,209,4,3263.20,261,แอปมือถือ
C-30100,37,29,71824.60,1357,แอปมือถือ
C-30238,36,34,49059.35,714,แอปมือถือ
C-30291,87,18,34744.98,161,แอปมือถือ
C-30736,211,1,4445.96,254,ออนไลน์
C-30685,266,5,540.83,934,ออนไลน์
C-30387,103,11,15910.16,492,แอปมือถือ
C-30967,293,2,775.41,1253,ออนไลน์
C-30689,359,3,5848.25,1105,ออนไลน์
C-30971,331,4,4601.51,828,แอปมือถือ
C-31010,185,5,1835.23,952,ออนไลน์
C-30741,279,4,1258.45,1048,ออนไลน์
C-30109,26,29,115462.00,922,หน้าร้าน
C-31073,242,1,111102.45,980,แอปมือถือ
C-30727,327,2,1019.32,1392,ออนไลน์
C-30544,43,8,32120.81,867,ออนไลน์
C-30492,35,12,32357.55,318,ออนไลน์
C-30694,271,3,5598.33,1334,แอปมือถือ
C-30740,278,3,4839.49,400,หน้าร้าน
C-30688,353,5,4676.74,659,หน้าร้าน
C-30728,198,4,4646.09,1247,แอปมือถือ
C-30322,110,12,10720.74,549,ออนไลน์
C-30073,39,18,95986.48,191,หน้าร้าน
C-30370,29,8,36133.97,1192,ออนไลน์
C-30656,93,15,37097.70,482,หน้าร้าน
C-30453,37,14,16850.62,1386,แอปมือถือ
C-30008,3,29,132355.46,500,แอปมือถือ
C-30181,5,41,67969.83,101,หน้าร้าน
C-30434,96,10,18420.96,1215,แอปมือถือ
C-30246,43,44,170723.96,709,แอปมือถือ
C-30570,34,7,40842.30,1232,หน้าร้าน
C-30435,81,9,14252.20,1111,แอปมือถือ
C-30922,239,3,6731.90,1385,ออนไลน์
C-30942,314,5,1072.79,340,หน้าร้าน
C-30717,392,2,1113.96,800,หน้าร้าน
C-30624,47,17,13971.56,390,หน้าร้าน
C-30221,11,34,56932.80,926,ออนไลน์
C-30852,257,5,5656.71,849,แอปมือถือ
C-30097,6,43,84029.36,628,หน้าร้าน
C-30350,90,11,21080.03,620,แอปมือถือ
C-30520,30,20,19088.59,909,ออนไลน์
C-31117,150,2,76732.30,864,ออนไลน์
C-30496,23,19,17383.47,237,หน้าร้าน
C-30447,61,15,33799.55,104,หน้าร้าน
C-30471,40,19,30702.15,853,หน้าร้าน
C-30443,42,8,22794.39,372,แอปมือถือ
C-31113,105,2,196372.07,541,แอปมือถือ
C-30419,62,10,14072.43,1215,หน้าร้าน
C-30574,56,20,29975.48,400,ออนไลน์
C-31184,103,1,71503.06,907,แอปมือถือ
C-30039,43,29,134716.00,1176,แอปมือถือ
C-30282,102,20,8537.39,604,หน้าร้าน
C-30553,51,13,31694.40,1351,หน้าร้าน
C-30173,39,32,83566.03,194,แอปมือถือ
C-30497,33,12,18404.07,130,ออนไลน์
C-30639,54,18,20120.28,1073,แอปมือถือ
C-30468,78,17,39809.18,846,ออนไลน์
C-30406,20,15,34228.06,987,ออนไลน์
C-31108,232,2,116240.68,690,หน้าร้าน
C-30932,261,3,6379.24,482,หน้าร้าน
C-30826,417,3,3975.83,542,หน้าร้าน
C-30093,4,27,97065.35,239,หน้าร้าน
C-30760,276,1,1366.92,407,แอปมือถือ
C-30773,162,2,3477.94,333,แอปมือถือ
C-30265,55,20,27901.02,702,หน้าร้าน
C-30827,221,4,2326.14,1022,หน้าร้าน
C-30625,34,8,26959.81,391,แอปมือถือ
C-30902,209,3,2127.11,450,หน้าร้าน
C-30507,41,15,18962.06,1310,แอปมือถือ
C-31040,413,2,6645.70,1162,หน้าร้าน
C-30929,400,1,5304.51,1079,แอปมือถือ
C-30548,110,15,12531.39,544,หน้าร้าน
C-30631,29,12,12158.78,188,ออนไลน์
C-30442,96,18,20468.01,357,แอปมือถือ
C-30696,217,2,1798.74,847,ออนไลน์
C-30307,44,15,41032.82,467,ออนไลน์
C-31185,179,2,205064.33,233,แอปมือถือ
C-30761,266,2,5755.69,890,ออนไลน์
C-31164,177,2,160327.77,1101,ออนไลน์
C-30096,20,45,76031.90,82,แอปมือถือ
C-30664,91,20,17598.34,683,ออนไลน์
C-30610,38,15,14617.23,1310,หน้าร้าน
C-30146,4,40,158305.82,773,ออนไลน์
C-30331,106,8,10769.10,718,ออนไลน์
C-31034,305,5,840.84,680,แอปมือถือ
C-30393,50,10,28965.68,671,หน้าร้าน
C-30707,270,4,481.91,366,แอปมือถือ
C-30815,154,3,5243.85,1052,หน้าร้าน
C-31152,249,1,203819.78,449,หน้าร้าน
C-30053,42,31,174681.80,379,หน้าร้าน
C-30591,108,9,37916.02,842,ออนไลน์
C-30041,24,19,127165.27,379,ออนไลน์
C-30098,11,44,65175.99,1239,หน้าร้าน
C-31021,171,4,1423.04,902,หน้าร้าน
C-30543,54,7,7391.94,1255,ออนไลน์
C-31030,398,3,5969.11,743,ออนไลน์
