txn_id,txn_date,sku,store_id,quantity,amount
B-900249,2025-09-05,P-301,S-01,1,2450.00
B-900250,2025-09-05,P-101,S-05,2,70.00
B-900251,2025-09-05,P-102,S-02,2,56.00
B-900252,2025-09-05,P-101,S-01,1,35.00
B-900253,2025-09-05,P-202,S-06,3,360.00
B-900254,2025-09-05,P-102,S-01,2,56.00
B-900255,2025-09-05,P-202,S-04,1,120.00
B-900256,2025-09-05,P-203,S-05,1,75.00
B-900257,2025-09-05,P-302,S-06,2,7780.00
B-900258,2025-09-05,P-201,S-01,2,190.00
B-900259,2025-09-05,P-301,S-04,1,2450.00
B-900260,2025-09-05,P-202,S-03,1,120.00
B-900261,2025-09-05,P-302,S-06,1,3890.00
B-900262,2025-09-05,P-103,S-90,1,45.00
B-900263,2025-09-05,P-202,S-06,1,120.00
B-900264,2025-09-05,P-202,S-02,1,120.00
B-900265,2025-09-05,P-102,S-01,1,28.00
B-900266,2025-09-05,P-203,S-03,2,150.00
B-900267,2025-09-05,P-103,S-02,3,135.00
B-900268,2025-09-05,P-301,S-90,1,2450.00
B-900269,2025-09-05,P-203,S-90,3,225.00
B-900270,2025-09-05,P-101,S-04,3,105.00
B-900271,2025-09-05,P-102,S-06,1,28.00
B-900272,2025-09-05,P-103,S-01,1,45.00
B-900273,2025-09-05,P-103,S-90,3,135.00
B-900274,2025-09-05,P-101,S-03,1,35.00
B-900275,2025-09-05,P-103,S-01,1,45.00
B-900276,2025-09-05,P-302,S-90,2,7780.00
B-900277,2025-09-05,P-202,S-03,1,120.00
B-900278,2025-09-05,P-301,S-06,2,4900.00
B-900279,2025-09-05,P-202,S-02,1,120.00
B-900280,2025-09-05,P-103,S-90,1,45.00
B-900281,2025-09-05,P-301,S-06,1,2450.00
B-900282,2025-09-05,P-202,S-05,1,120.00
B-900283,2025-09-05,P-201,S-04,1,95.00
B-900284,2025-09-05,P-102,S-02,1,28.00
B-900285,2025-09-05,P-101,S-90,1,35.00
B-900286,2025-09-05,P-202,S-90,2,240.00
B-900287,2025-09-05,P-201,S-02,1,95.00
B-900288,2025-09-05,P-102,S-05,1,28.00
B-900289,2025-09-05,P-102,S-01,1,28.00
B-900290,2025-09-05,P-203,S-90,1,75.00
B-900291,2025-09-05,P-301,S-06,1,2450.00
B-900292,2025-09-05,P-203,S-06,1,75.00
B-900293,2025-09-05,P-201,S-90,2,190.00
B-900294,2025-09-05,P-103,S-06,3,135.00
B-900295,2025-09-05,P-103,S-03,2,90.00
