txn_id,txn_date,sku,store_id,channel,quantity,net_amount
B-901096,2025-09-20,P-201,S-04,หน้าร้าน,1,95.00
B-901097,2025-09-20,P-302,S-06,หน้าร้าน,1,3890.00
B-901098,2025-09-20,P-103,S-03,หน้าร้าน,2,90.00
B-901099,2025-09-20,P-302,S-03,หน้าร้าน,1,3890.00
B-901100,2025-09-20,P-302,S-04,หน้าร้าน,1,3890.00
B-901101,2025-09-20,P-102,S-03,หน้าร้าน,1,28.00
B-901102,2025-09-20,P-201,S-03,หน้าร้าน,3,285.00
B-901103,2025-09-20,P-103,S-06,หน้าร้าน,2,90.00
B-901104,2025-09-20,P-101,S-90,ออนไลน์,1,35.00
B-901105,2025-09-20,P-301,S-06,หน้าร้าน,1,2450.00
B-901106,2025-09-20,P-103,S-90,ออนไลน์,1,45.00
B-901107,2025-09-20,P-102,S-04,หน้าร้าน,2,56.00
B-901108,2025-09-20,P-202,S-01,หน้าร้าน,1,120.00
B-901109,2025-09-20,P-302,S-04,หน้าร้าน,1,3890.00
B-901110,2025-09-20,P-201,S-02,หน้าร้าน,2,190.00
B-901111,2025-09-20,P-301,S-05,หน้าร้าน,1,2450.00
B-901112,2025-09-20,P-202,S-06,หน้าร้าน,2,240.00
B-901113,2025-09-20,P-301,S-05,หน้าร้าน,1,2450.00
B-901114,2025-09-20,P-301,S-04,หน้าร้าน,1,2450.00
B-901115,2025-09-20,P-302,S-01,หน้าร้าน,1,3890.00
B-901116,2025-09-20,P-101,S-05,หน้าร้าน,2,70.00
B-901117,2025-09-20,P-203,S-01,หน้าร้าน,2,150.00
B-901118,2025-09-20,P-302,S-05,หน้าร้าน,1,3890.00
B-901119,2025-09-20,P-103,S-02,หน้าร้าน,2,90.00
B-901120,2025-09-20,P-302,S-04,หน้าร้าน,1,3890.00
B-901121,2025-09-20,P-101,S-06,หน้าร้าน,1,35.00
B-901122,2025-09-20,P-203,S-06,หน้าร้าน,1,75.00
B-901123,2025-09-20,P-203,S-01,หน้าร้าน,1,75.00
B-901124,2025-09-20,P-203,S-01,หน้าร้าน,1,75.00
B-901125,2025-09-20,P-103,S-04,หน้าร้าน,1,45.00
B-901126,2025-09-20,P-202,S-06,หน้าร้าน,1,120.00
B-901127,2025-09-20,P-302,S-02,หน้าร้าน,2,7780.00
B-901128,2025-09-20,P-302,S-02,หน้าร้าน,1,3890.00
B-901129,2025-09-20,P-101,S-01,หน้าร้าน,1,35.00
B-901130,2025-09-20,P-203,S-05,หน้าร้าน,1,75.00
B-901131,2025-09-20,P-201,S-03,หน้าร้าน,1,95.00
B-901132,2025-09-20,P-102,S-90,ออนไลน์,2,56.00
B-901133,2025-09-20,P-201,S-02,หน้าร้าน,1,95.00
B-901134,2025-09-20,P-102,S-02,หน้าร้าน,1,28.00
B-901135,2025-09-20,P-201,S-04,หน้าร้าน,2,190.00
B-901136,2025-09-20,P-302,S-06,หน้าร้าน,1,3890.00
B-901137,2025-09-20,P-202,S-06,หน้าร้าน,1,120.00
B-901138,2025-09-20,P-202,S-05,หน้าร้าน,1,120.00
B-901139,2025-09-20,P-301,S-05,หน้าร้าน,3,7350.00
B-901140,2025-09-20,P-302,S-01,หน้าร้าน,1,3890.00
B-901141,2025-09-20,P-202,S-02,หน้าร้าน,1,120.00
B-901142,2025-09-20,P-103,S-05,หน้าร้าน,1,45.00
B-901143,2025-09-20,P-101,S-06,หน้าร้าน,1,35.00
