session_id,period,session_date,device,campaign,minutes_on_site,converted
S-005726,2025-Q1,2025-03-07,Mobile,โฆษณาโซเชียล,5.5,0
S-007791,2025-Q1,2025-01-16,Mobile,ค้นหา,5.7,1
S-009173,2025-Q1,2025-03-22,Desktop,โฆษณาโซเชียล,9.8,0
S-014517,2025-Q2,2025-06-23,Desktop,ตรงเข้าเว็บ,8.9,1
S-011507,2025-Q2,2025-06-26,Mobile,ตรงเข้าเว็บ,8.1,0
S-011048,2025-Q2,2025-04-13,Mobile,ค้นหา,7.9,0
S-008007,2025-Q1,2025-02-12,Desktop,ตรงเข้าเว็บ,3.8,1
S-003486,2025-Q1,2025-03-05,Mobile,โฆษณาโซเชียล,6.2,0
S-015868,2025-Q2,2025-06-28,Desktop,โฆษณาโซเชียล,10.5,0
S-017935,2025-Q2,2025-05-03,Desktop,อีเมล,8.7,1
S-009957,2025-Q1,2025-02-10,Desktop,ตรงเข้าเว็บ,2.9,0
S-001133,2025-Q1,2025-01-01,Mobile,ค้นหา,1.4,0
S-011058,2025-Q2,2025-05-11,Mobile,ตรงเข้าเว็บ,4.2,0
S-013878,2025-Q2,2025-06-14,Desktop,ตรงเข้าเว็บ,9.4,0
S-011946,2025-Q2,2025-06-28,Mobile,ค้นหา,3.2,0
S-012023,2025-Q2,2025-05-18,Mobile,ค้นหา,10.5,0
S-005509,2025-Q1,2025-03-20,Mobile,อีเมล,9.3,0
S-013938,2025-Q2,2025-06-13,Desktop,โฆษณาโซเชียล,8.3,1
S-009870,2025-Q1,2025-01-22,Desktop,ค้นหา,1.2,0
S-009847,2025-Q1,2025-03-29,Desktop,อีเมล,6.7,1
S-016600,2025-Q2,2025-06-07,Desktop,ค้นหา,8.6,1
S-015238,2025-Q2,2025-04-05,Desktop,ตรงเข้าเว็บ,7.3,0
S-009878,2025-Q1,2025-03-18,Desktop,ค้นหา,6.0,0
S-010395,2025-Q2,2025-04-15,Mobile,ตรงเข้าเว็บ,7.3,0
S-011636,2025-Q2,2025-04-12,Mobile,โฆษณาโซเชียล,7.7,0
S-011404,2025-Q2,2025-05-25,Mobile,ตรงเข้าเว็บ,3.4,1
S-014127,2025-Q2,2025-04-22,Desktop,อีเมล,6.9,0
S-016976,2025-Q2,2025-05-26,Desktop,โฆษณาโซเชียล,5.8,0
