txn_id,txn_date,amount,channel,device,risk_score,is_fraud
TX-102201,2025-10-29,459.43,ต่างประเทศ,เว็บ,0.0553,0
TX-101837,2025-11-13,14024.09,ตู้เอทีเอ็ม,สาขา,0.0406,0
TX-118172,2025-11-04,996.37,ต่างประเทศ,สาขา,0.0406,0
TX-110541,2025-11-19,2789.78,ออนไลน์,มือถือ,0.0251,0
TX-104667,2025-11-03,12614.06,ต่างประเทศ,เว็บ,0.0341,0
TX-115860,2025-10-31,1663.61,ต่างประเทศ,บัตร,0.281,0
TX-118520,2025-10-26,3153.66,ต่างประเทศ,มือถือ,0.2334,0
TX-119003,2025-11-26,2062.99,ต่างประเทศ,สาขา,0.1457,0
TX-110334,2025-11-19,315.26,ตู้เอทีเอ็ม,บัตร,0.2265,0
TX-109464,2025-10-23,257.02,ต่างประเทศ,เว็บ,0.1806,0
TX-109580,2025-11-06,1050.87,ต่างประเทศ,เว็บ,0.1308,0
TX-107396,2025-11-05,460.63,ตู้เอทีเอ็ม,สาขา,0.0753,0
TX-118299,2025-11-21,1851.87,หน้าร้าน,สาขา,0.1773,0
TX-100798,2025-10-23,1458.25,หน้าร้าน,สาขา,0.161,0
TX-116130,2025-10-14,1697.58,ต่างประเทศ,บัตร,0.0198,0
TX-116967,2025-10-15,642.75,หน้าร้าน,มือถือ,0.1413,0
TX-118424,2025-11-09,9065.10,ออนไลน์,เว็บ,0.0854,0
TX-114887,2025-11-10,576.82,ต่างประเทศ,สาขา,0.3323,0
TX-114926,2025-11-27,983.27,ตู้เอทีเอ็ม,สาขา,0.1593,0
TX-119896,2025-10-24,5406.21,ออนไลน์,บัตร,0.1729,0
TX-111262,2025-11-02,2793.10,ตู้เอทีเอ็ม,บัตร,0.0153,0
TX-100068,2025-11-05,389.10,ออนไลน์,บัตร,0.1216,0
TX-103793,2025-10-14,3803.79,ตู้เอทีเอ็ม,มือถือ,0.0333,0
TX-117676,2025-10-22,641.41,ตู้เอทีเอ็ม,สาขา,0.151,0
TX-104809,2025-10-29,12602.88,ออนไลน์,บัตร,0.0925,0
TX-100870,2025-10-16,1466.03,ออนไลน์,มือถือ,0.0966,0
TX-109166,2025-10-11,1249.35,ต่างประเทศ,มือถือ,0.0777,0
TX-118875,2025-10-26,1365.72,ออนไลน์,มือถือ,0.2623,0
TX-116377,2025-10-18,5343.57,หน้าร้าน,เว็บ,0.0724,0
TX-104061,2025-11-23,413.72,ตู้เอทีเอ็ม,สาขา,0.0876,0
