transaction_id,txn_date,item
T-200000,2025-07-25,กาแฟสด
T-200000,2025-07-25,น้ำดื่ม
T-200000,2025-07-25,เบียร์
T-200001,2025-07-15,ถุงพลาสติก
T-200001,2025-07-15,น้ำดื่ม
T-200002,2025-07-20,กาแฟสด
T-200002,2025-07-20,เบียร์
T-200002,2025-07-20,ไข่ไก่
T-200003,2025-07-23,กาแฟสด
T-200003,2025-07-23,ขนมปัง
T-200003,2025-07-23,ถุงพลาสติก
T-200004,2025-07-27,ถุงพลาสติก
T-200004,2025-07-27,นมสด
T-200004,2025-07-27,ไข่ไก่
T-200005,2025-08-03,บะหมี่กึ่งสำเร็จรูป
T-200006,2025-09-26,ขนมปัง
T-200006,2025-09-26,ชาเขียว
T-200006,2025-09-26,บะหมี่กึ่งสำเร็จรูป
T-200007,2025-08-07,ขนมปัง
T-200007,2025-08-07,ถุงพลาสติก
T-200007,2025-08-07,ผ้าอ้อม
T-200007,2025-08-07,ผ้าเช็ดทำความสะอาด
T-200008,2025-07-21,ชาเขียว
T-200008,2025-07-21,นมสด
T-200008,2025-07-21,มันฝรั่งทอด
T-200008,2025-07-21,เบียร์
T-200008,2025-07-21,ไข่ไก่
T-200009,2025-07-11,ขนมปัง
T-200009,2025-07-11,ถุงพลาสติก
T-200009,2025-07-11,บะหมี่กึ่งสำเร็จรูป
T-200009,2025-07-11,เบียร์
T-200010,2025-07-19,ถุงพลาสติก
T-200010,2025-07-19,นมสด
T-200010,2025-07-19,น้ำดื่ม
T-200010,2025-07-19,แชมพู
T-200011,2025-09-07,ชาเขียว
T-200011,2025-09-07,ถุงพลาสติก
T-200012,2025-08-25,ขนมปัง
T-200012,2025-08-25,ถุงพลาสติก
T-200012,2025-08-25,นมสด
T-200013,2025-07-16,กาแฟสด
T-200013,2025-07-16,ขนมปัง
T-200013,2025-07-16,ถุงพลาสติก
T-200013,2025-07-16,บะหมี่กึ่งสำเร็จรูป
T-200013,2025-07-16,ผ้าอ้อม
T-200013,2025-07-16,ผ้าเช็ดทำความสะอาด
T-200014,2025-08-18,ถุงพลาสติก
T-200014,2025-08-18,นมสด
T-200014,2025-08-18,แชมพู
T-200015,2025-09-27,ขนมปัง
T-200015,2025-09-27,ชาเขียว
T-200015,2025-09-27,มันฝรั่งทอด
T-200015,2025-09-27,เบียร์
T-200015,2025-09-27,ไข่ไก่
T-200016,2025-07-04,ขนมปัง
T-200016,2025-07-04,ถุงพลาสติก
T-200016,2025-07-04,น้ำดื่ม
T-200016,2025-07-04,เบียร์
T-200017,2025-07-15,ขนมปัง
T-200017,2025-07-15,ถุงพลาสติก
T-200017,2025-07-15,น้ำดื่ม
T-200017,2025-07-15,มันฝรั่งทอด
T-200018,2025-07-22,กาแฟสด
T-200018,2025-07-22,ถุงพลาสติก
T-200018,2025-07-22,ผ้าอ้อม
T-200018,2025-07-22,ผ้าเช็ดทำความสะอาด
T-200018,2025-07-22,มันฝรั่งทอด
T-200018,2025-07-22,ไข่ไก่
T-200019,2025-08-25,ถุงพลาสติก
T-200019,2025-08-25,บะหมี่กึ่งสำเร็จรูป
T-200020,2025-09-23,ขนมปัง
T-200020,2025-09-23,แชมพู
T-200021,2025-07-02,กาแฟสด
T-200021,2025-07-02,ขนมปัง
T-200021,2025-07-02,ถุงพลาสติก
T-200021,2025-07-02,บะหมี่กึ่งสำเร็จรูป
T-200021,2025-07-02,ผ้าอ้อม
T-200021,2025-07-02,ผ้าเช็ดทำความสะอาด
T-200021,2025-07-02,เบียร์
T-200022,2025-07-16,ถุงพลาสติก
T-200022,2025-07-16,นมสด
T-200022,2025-07-16,ไข่ไก่
T-200023,2025-09-04,ชาเขียว
T-200023,2025-09-04,บะหมี่กึ่งสำเร็จรูป
T-200023,2025-09-04,มันฝรั่งทอด
T-200023,2025-09-04,เบียร์
T-200024,2025-08-13,ขนมปัง
T-200024,2025-08-13,ถุงพลาสติก
T-200024,2025-08-13,นมสด
