customer_id,recency_days,frequency,monetary
N-40000,394,39,71382.71
N-40001,379,23,14692.41
N-40002,279,20,202373.30
N-40003,57,34,190160.48
N-40004,63,43,112233.73
N-40005,316,35,162426.07
N-40006,278,16,91928.16
N-40007,190,11,119092.35
N-40008,78,26,19760.59
N-40009,57,18,45967.98
N-40010,72,39,153437.27
N-40011,413,47,62640.12
N-40012,62,5,32210.96
N-40013,126,33,172565.42
N-40014,9,43,197931.87
N-40015,150,43,203635.83
N-40016,68,32,148966.73
N-40017,57,34,69707.57
N-40018,270,42,202226.79
N-40019,7,18,71428.37
N-40020,240,22,190613.50
N-40021,71,44,145839.90
N-40022,390,13,120856.90
N-40023,62,21,28841.91
N-40024,241,3,115064.59
N-40025,54,15,184121.01
N-40026,33,36,173806.51
N-40027,217,5,183027.88
N-40028,381,22,26691.55
N-40029,272,27,38534.18
N-40030,110,37,113801.80
N-40031,114,45,64616.76
N-40032,369,24,111994.09
N-40033,292,23,143131.80
N-40034,8,6,26379.88
N-40035,178,26,30738.39
N-40036,214,1,170395.00
N-40037,162,5,157823.04
N-40038,315,8,183129.91
N-40039,159,38,91268.19
N-40040,156,15,169515.19
N-40041,159,41,108213.43
N-40042,20,23,150456.08
N-40043,83,38,100042.67
N-40044,95,42,15927.65
N-40045,169,24,166839.85
N-40046,20,35,134812.11
N-40047,412,5,131286.86
N-40048,110,44,167537.56
N-40049,74,32,30783.89
N-40050,91,47,24739.80
N-40051,38,35,180768.15
N-40052,402,23,70596.73
N-40053,22,46,144319.03
N-40054,325,32,138685.50
N-40055,24,26,49948.32
N-40056,370,26,119814.61
N-40057,120,28,125057.00
N-40058,365,32,149279.16
N-40059,102,8,137678.92
N-40060,311,14,77396.29
N-40061,85,18,72775.64
N-40062,61,48,29373.60
N-40063,213,31,42987.59
N-40064,30,31,162101.21
N-40065,143,17,124274.33
N-40066,205,17,17834.00
N-40067,359,38,194285.43
N-40068,176,18,209423.30
N-40069,67,44,126239.86
N-40070,285,24,121208.08
N-40071,314,15,193423.31
N-40072,168,8,55723.66
N-40073,95,47,3588.92
N-40074,340,43,48847.69
N-40075,222,3,74324.55
N-40076,278,6,160536.94
N-40077,406,20,73494.54
N-40078,146,5,111007.03
N-40079,154,8,87872.83
N-40080,174,6,198130.86
N-40081,215,46,96381.13
N-40082,382,2,152929.45
N-40083,291,34,73174.36
N-40084,371,21,59220.48
N-40085,404,39,516.07
N-40086,379,38,6491.47
N-40087,147,31,192687.59
N-40088,187,48,170164.53
N-40089,145,13,50214.69
N-40090,227,8,42497.27
N-40091,360,42,145510.36
N-40092,277,2,35521.56
N-40093,177,38,131613.41
N-40094,316,46,92836.71
N-40095,386,29,70675.63
N-40096,55,22,191234.57
N-40097,357,34,71716.02
N-40098,376,39,46292.34
N-40099,76,37,28247.35
N-40100,284,33,102121.29
N-40101,132,38,13517.39
N-40102,95,38,153532.07
N-40103,170,28,126554.81
